headline,start,end,city,state,country
[CHI 2020](https://chi2020.acm.org/) (Cancelled),2020-04-25,2020-04-30,Honolulu,Hawaii,UK
"[Home, Sweet Home](https://goo.gl/maps/uKUEXH5DcQ82)",2019-12-12,2020-01-08,,,Korea
[CHI 2019](http://chi2019.acm.org/),2019-05-04,2019-05-09,Glasgow,,UK
[Emory University](http://www.cs.emory.edu/),2019-02-26,2019-02-28,Atlanta,GA,USA
[Boston College](https://www.bc.edu/bc-web/schools/mcas/departments/computer-science.html),2019-02-20,2019-02-20,Chestnut Hill,MA,USA
[Penn State University](https://ist.psu.edu/),2019-02-11,2019-02-13,University Park,PA,USA
"[Home, Sweet Home](https://goo.gl/maps/uKUEXH5DcQ82)",2018-12-28,2019-01-21,,,Korea 
[Siebel Scholars](http://www.siebelscholars.com/conferences/2018), 2018-11-02,2018-11-04,Palo Alto,CA,USA
[VIS 2018](http://ieeevis.org/year/2018/welcome),2018-10-21,2018-10-26,Berlin,,Germany
[CHI 2018](https://chi2018.acm.org),2018-10-21,2018-10-26,Montréal,,Canada
[VIS 2017](http://ieeevis.org/year/2017/welcome),2017-10-01,2017-10-06,Phoenix,AZ,USA
[Walt Disney Imagineering](https://disneyimaginations.com/),2017-06-08,2017-06-09,LA,CA,USA
[Microsoft Research](https://www.microsoft.com/en-us/research/),2017-04-17,2017-07-21,Redmond,WA,USA
